PS,WS10M,QV2M,T2M
78.3,2.47,4.71,7.09
78.38,2.15,4.81,8.34
78.21,1.74,4.19,7.14
78.2,1.13,4.81,6.19
78.16,1.3,5.1,6.51
78.15,1.76,5.73,6.18
78.08,2.12,4.59,6.31
78.12,2.54,4.58,6.65
78.19,2.07,3.92,7.5
78.09,2.24,4.01,7.18
78.07,2.58,4.16,6.39
78.12,2.5,3.76,6.51
78.23,2.56,3.47,7.48
78.23,2.47,4.1,8.22
78.24,2.31,3.89,7.72
78.26,2.46,3.98,8.29
78.25,2.62,4.22,9.49
78.19,2.65,4.53,10.14
78.21,2.38,4.94,10.6
78.38,2.35,4.29,11.5
78.43,2.53,4.92,12.05
78.34,2.44,6.01,12.21
78.32,2.67,6.53,12.26
78.05,3,5.76,10.92
77.95,2.53,4.29,9.13
77.92,2.73,4.77,9.52
77.85,2.16,5.41,9.17
78.04,2.19,5.44,9.02
78.16,2.55,5.49,10.31
78.13,2.85,5.61,10.82
78.09,2.91,5.16,11.93
78.11,3.18,5.76,13.29
78.02,2.9,6.03,14.3
77.9,3.53,5.72,15.06
77.83,2.99,4.95,14.77
77.77,2.58,3.61,12.9
77.74,2.76,3.6,12.15
77.82,2.74,3.36,11.55
78.02,2.74,4.56,11.71
78.03,2.37,5.55,13.55
78.02,2.5,6.28,13.47
78.17,2.41,6.91,13.84
78.14,2.67,7.28,14.57
78.01,3.13,5.6,14.82
78.08,2.63,4.62,14.19
78.12,2.52,3.7,13.58
78.1,2.6,3.46,13.02
78.09,2.68,3.67,12.63
78.23,2.65,4.56,12.21
78.28,2.22,5.6,12.59
78.19,2.77,5.73,13.93
78.06,2.98,5.9,14.79
77.98,3.17,5.67,14.91
78.25,3.02,5.23,15.2
78.22,2.94,6.27,15.5
78.13,2.85,5.39,14.78
78.18,2.86,4.22,15.16
78.33,2.96,4.09,15.8
78.15,3.21,4.15,16.21
77.93,3.21,5.9,15.95
78,2.74,5.88,17.2
78.09,2.68,5.61,17.16
78.17,2.8,6.04,16.7
78.08,2.86,4.99,16.86
78.12,2.7,4.62,17.32
78.15,2.65,5.45,17.55
78.04,2.8,7.04,17.37
78.04,1.93,8.48,15.69
78.03,2.2,8.69,14.56
78,1.79,9.47,13.99
78.11,2.71,8.76,14.25
78.13,2.68,9.05,14.55
77.94,2.84,8.91,15.74
77.73,2.53,9.09,16.32
77.6,3.27,7.32,17.8
77.72,3.04,5.32,18.65
77.84,3.22,6.1,18.11
77.94,2.77,6.61,18.07
78,3.03,6.68,17.57
77.83,3.29,6.19,17.3
77.71,2.85,7.14,17.23
77.81,2.65,6.12,17.39
78.02,3,6.72,18.22
78.04,2.82,7.69,19.09
78.1,2.6,7.6,19.91
78.03,2.5,6.74,19.26
77.82,2.93,5.56,18.73
77.7,2.59,5.65,18.62
77.86,2.72,6.4,19.06
78.11,2.62,8.83,18.06
78.23,2.33,11.06,17.7
78.28,1.95,11.5,16.38
78.08,1.64,11.44,15.59
77.94,2.28,11.66,16.54
77.91,2.46,10.85,16.28
77.82,2.55,10.58,18.09
77.85,2.32,11.46,17.8
77.99,2.47,11.78,18.28
78.02,2.5,12.01,18.43
77.86,2.53,10.75,19.09
77.79,2.6,9.29,19.46
77.73,2.47,9.11,19.88
77.62,2.45,10.76,20.15
77.54,2.3,12.9,19.63
77.46,2.4,12.11,19.86
77.48,2.52,10.8,19.42
77.54,2.55,10.99,19.22
77.52,2.49,10.81,19.13
77.42,2.56,9.02,18.73
77.4,2.86,9.06,19.26
77.51,2.62,10.54,18.54
77.6,2.3,11.92,18.59
77.57,2.52,12.64,19.59
77.59,2.2,14.12,18.77
77.46,2.48,14.07,19.13
77.31,2.95,14.42,19.19
77.25,3.1,15.25,19.68
77.36,2.59,15.26,19.02
77.41,2.92,14.78,18.96
77.45,2.55,13.46,19.14
